gene_A,gene_B,pvalue,qvalue_BH,qvalue_BO,gene_B_around,gene_B_slice,gene_around,gene_slice,gene_A_N,gene_B_N,pair,enrichment_ratio,support_ratio
Pbx1,Pou2f1,3.985677833694411e-12,9.744982303382834e-10,1.9489964606765673e-09,17,472,1637,450357,595,472,Pbx1_Pou2f1,9.908665344832944,0.036016949152542374
H2-Aa,H2-Ab1,9.080175757637023e-12,1.0260598606129837e-09,1.0260598606129837e-09,6,24,72,34268,22,24,H2-Aa_H2-Ab1,118.9861111111111,0.2727272727272727
Kidins220,Id2,3.5438899208835944e-12,1.0454475266606604e-09,2.0908950533213208e-09,18,454,1737,399609,623,454,Id2_Kidins220,9.121202437743944,0.039647577092511016
Gabra2,Atp8a1,3.6375643084754135e-12,1.1421951928612797e-09,2.28439038572256e-09,34,1411,4539,812981,1678,1411,Atp8a1_Gabra2,4.315907383665528,0.024096385542168676
Jak1,Ror1,2.7280092817242257e-12,1.317628483072801e-09,1.317628483072801e-09,12,178,813,231736,273,178,Jak1_Ror1,19.21605373357104,0.06741573033707865
Jak1,Atg4c,5.5693521984218944e-12,1.3449985559188873e-09,2.689997111837775e-09,20,783,2015,605521,692,783,Atg4c_Jak1,7.675777771439618,0.028901734104046242
Hspa1a,C2,6.838387470136163e-12,1.5659907306611814e-09,1.5659907306611814e-09,7,31,142,44792,49,31,C2_Hspa1a,71.22762380736029,0.22580645161290322
Ckb,Cst3,4.1015459456703805e-12,1.6447199242138226e-09,3.289439848427645e-09,118,4521,10747,826804,3871,4521,Ckb_Cst3,2.007995894061535,0.030483079307672436
Aph1b/c,Dapk2,6.1874394820494935e-12,1.7572328129020561e-09,1.7572328129020561e-09,7,37,141,54814,49,37,Aph1b/c_Dapk2,73.54763273912211,0.1891891891891892
Slc1a2,Plpp3,2.539865008992935e-11,1.9785548420054965e-09,1.9785548420054965e-08,55,949,7858,378354,3017,949,Plpp3_Slc1a2,2.790504854207494,0.05795574288724974
Atg5,Grik2,6.2056825618054604e-12,1.979612737215942e-09,1.979612737215942e-09,17,733,1004,417949,385,733,Atg5_Grik2,9.654605316795573,0.04415584415584416
Ifngr2,Ifnar1,5.966735490650221e-12,2.249459279975133e-09,2.249459279975133e-09,11,203,595,239838,218,203,Ifnar1_Ifngr2,21.84226518193484,0.054187192118226604
Taok3,Ksr2,1.817495251213198e-11,2.662630543027335e-09,5.32526108605467e-09,10,201,443,217963,161,201,Ksr2_Taok3,24.478398077333424,0.062111801242236024
Ntrk2,Idnk,1.2956272630747496e-11,2.7855986156107117e-09,8.356795846832135e-09,14,200,1586,282731,582,200,Idnk_Ntrk2,12.478669609079446,0.07
Phc3,Skil,1.1473008642446124e-11,3.72872780879499e-09,3.72872780879499e-09,14,486,846,375425,327,486,Phc3_Skil,12.783347439901156,0.04281345565749235
